process,hurst_true,repeat,method,estimate,lag1_acf
fGn,0.3,0,custom_rs,0.37953215557144565,-0.27020628113961065
fGn,0.3,0,custom_dfa,0.3060883568524374,-0.27020628113961065
fGn,0.3,0,nolds_rs,0.3420058513754224,-0.27020628113961065
fGn,0.3,0,nolds_dfa,0.31199381535642845,-0.27020628113961065
fGn,0.3,1,custom_rs,0.35758140186271437,-0.24159340357733786
fGn,0.3,1,custom_dfa,0.2659787511397961,-0.24159340357733786
fGn,0.3,1,nolds_rs,0.32485949853082613,-0.24159340357733786
fGn,0.3,1,nolds_dfa,0.31152844639714655,-0.24159340357733786
fGn,0.3,2,custom_rs,0.37824766200174215,-0.24762470009747656
fGn,0.3,2,custom_dfa,0.294232706679916,-0.24762470009747656
fGn,0.3,2,nolds_rs,0.36737655219656584,-0.24762470009747656
fGn,0.3,2,nolds_dfa,0.32914204730300184,-0.24762470009747656
fGn,0.3,3,custom_rs,0.3972791411542111,-0.25016294195229405
fGn,0.3,3,custom_dfa,0.33227434563816965,-0.25016294195229405
fGn,0.3,3,nolds_rs,0.3510253870961334,-0.25016294195229405
fGn,0.3,3,nolds_dfa,0.3293919889447304,-0.25016294195229405
fGn,0.3,4,custom_rs,0.3915796791423735,-0.22284167637259622
fGn,0.3,4,custom_dfa,0.2997966002224734,-0.22284167637259622
fGn,0.3,4,nolds_rs,0.34116090815013456,-0.22284167637259622
fGn,0.3,4,nolds_dfa,0.31201189845749316,-0.22284167637259622
fGn,0.3,5,custom_rs,0.410590363385702,-0.24423950185153395
fGn,0.3,5,custom_dfa,0.33682113268047736,-0.24423950185153395
fGn,0.3,5,nolds_rs,0.3392135136952669,-0.24423950185153395
fGn,0.3,5,nolds_dfa,0.34392490645632706,-0.24423950185153395
fGn,0.3,6,custom_rs,0.38858554523734773,-0.2311040547886901
fGn,0.3,6,custom_dfa,0.3001203324025178,-0.2311040547886901
fGn,0.3,6,nolds_rs,0.3575006380603829,-0.2311040547886901
fGn,0.3,6,nolds_dfa,0.32851955052534487,-0.2311040547886901
fGn,0.3,7,custom_rs,0.3639907670321201,-0.24772012171730326
fGn,0.3,7,custom_dfa,0.28188259570414054,-0.24772012171730326
fGn,0.3,7,nolds_rs,0.34021180805097706,-0.24772012171730326
fGn,0.3,7,nolds_dfa,0.3064498004810452,-0.24772012171730326
fGn,0.3,8,custom_rs,0.37242347756682564,-0.23788420336405713
fGn,0.3,8,custom_dfa,0.31141101479936917,-0.23788420336405713
fGn,0.3,8,nolds_rs,0.3335454884385456,-0.23788420336405713
fGn,0.3,8,nolds_dfa,0.33294507031967663,-0.23788420336405713
fGn,0.3,9,custom_rs,0.3790974642746862,-0.25486695219872535
fGn,0.3,9,custom_dfa,0.3005933305931638,-0.25486695219872535
fGn,0.3,9,nolds_rs,0.35465893579157237,-0.25486695219872535
fGn,0.3,9,nolds_dfa,0.3241220482486291,-0.25486695219872535
fGn,0.3,10,custom_rs,0.3830071798829485,-0.2269296268801213
fGn,0.3,10,custom_dfa,0.2897895384649386,-0.2269296268801213
fGn,0.3,10,nolds_rs,0.3279099763350932,-0.2269296268801213
fGn,0.3,10,nolds_dfa,0.31467612886973984,-0.2269296268801213
fGn,0.3,11,custom_rs,0.3986506977170586,-0.23437891818200324
fGn,0.3,11,custom_dfa,0.33009597467645924,-0.23437891818200324
fGn,0.3,11,nolds_rs,0.3500581161559171,-0.23437891818200324
fGn,0.3,11,nolds_dfa,0.3420226432457553,-0.23437891818200324
fGn,0.3,12,custom_rs,0.3694439810051077,-0.25432559045409514
fGn,0.3,12,custom_dfa,0.28404040750998977,-0.25432559045409514
fGn,0.3,12,nolds_rs,0.3529005222665218,-0.25432559045409514
fGn,0.3,12,nolds_dfa,0.3194485913277137,-0.25432559045409514
fGn,0.3,13,custom_rs,0.3916779722213502,-0.2506733946568042
fGn,0.3,13,custom_dfa,0.298426040360729,-0.2506733946568042
fGn,0.3,13,nolds_rs,0.3621546690390151,-0.2506733946568042
fGn,0.3,13,nolds_dfa,0.3216088894785438,-0.2506733946568042
fGn,0.3,14,custom_rs,0.3902318820794501,-0.24331197303810292
fGn,0.3,14,custom_dfa,0.3113877869735547,-0.24331197303810292
fGn,0.3,14,nolds_rs,0.35503268642765756,-0.24331197303810292
fGn,0.3,14,nolds_dfa,0.3313968601942608,-0.24331197303810292
fGn,0.3,15,custom_rs,0.4090829140266065,-0.2333503932743925
fGn,0.3,15,custom_dfa,0.3276201665633393,-0.2333503932743925
fGn,0.3,15,nolds_rs,0.3622138579215506,-0.2333503932743925
fGn,0.3,15,nolds_dfa,0.3344400963244725,-0.2333503932743925
fGn,0.3,16,custom_rs,0.39140959592815294,-0.2396156674487106
fGn,0.3,16,custom_dfa,0.3135499904644513,-0.2396156674487106
fGn,0.3,16,nolds_rs,0.33625102202203605,-0.2396156674487106
fGn,0.3,16,nolds_dfa,0.3221000581364061,-0.2396156674487106
fGn,0.3,17,custom_rs,0.3936445572462082,-0.24463602047044275
fGn,0.3,17,custom_dfa,0.32174969491334,-0.24463602047044275
fGn,0.3,17,nolds_rs,0.36833141177968975,-0.24463602047044275
fGn,0.3,17,nolds_dfa,0.34216048772676355,-0.24463602047044275
fGn,0.3,18,custom_rs,0.41447674049816147,-0.23305111441386342
fGn,0.3,18,custom_dfa,0.340910659745405,-0.23305111441386342
fGn,0.3,18,nolds_rs,0.3669369585406771,-0.23305111441386342
fGn,0.3,18,nolds_dfa,0.33022930143481316,-0.23305111441386342
fGn,0.3,19,custom_rs,0.37498803497231636,-0.24351828891405586
fGn,0.3,19,custom_dfa,0.28363879544444204,-0.24351828891405586
fGn,0.3,19,nolds_rs,0.36239536451710164,-0.24351828891405586
fGn,0.3,19,nolds_dfa,0.3262394635585527,-0.24351828891405586
